time, contact_status_left, contact_status_right, pc-x_left, pc-y_left, pc-z_left, pc-x_right, pc-y_right, pc-z_right, x-COM, y-COM, z-COM, h_x, h_y, h_z
0,1,1,0,0.03,0,0,-0.03,0,-2.4701e-27,0,0.15,0,0,0
0.01,1,1,0,0.03,0,0,-0.03,0,9.7339e-10,-5.5005e-05,0.15005,4.8384e-08,-0.0027342,0.0024772
0.02,1,1,0,0.03,0,0,-0.03,0,1.9468e-09,-0.00011001,0.1501,9.6769e-08,-0.0054683,0.0049544
0.03,1,1,0,0.03,0,0,-0.03,0,2.9202e-09,-0.00016502,0.15015,1.4515e-07,-0.0082025,0.0074316
0.04,1,1,0,0.03,0,0,-0.03,0,3.8936e-09,-0.00022002,0.1502,1.9354e-07,-0.010937,0.0099087
0.05,1,1,0,0.03,0,0,-0.03,0,4.8669e-09,-0.00027503,0.15025,2.4192e-07,-0.013671,0.012386
0.06,1,1,0,0.03,0,0,-0.03,0,5.8403e-09,-0.00033003,0.1503,2.9031e-07,-0.016405,0.014863
0.07,1,1,0,0.03,0,0,-0.03,0,8.3218e-09,-0.00045352,0.15042,3.3238e-07,-0.01795,0.016847
0.08,1,1,0,0.03,0,0,-0.03,0,1.109e-08,-0.00059,0.15056,3.7325e-07,-0.01927,0.018738
0.09,1,1,0,0.03,0,0,-0.03,0,1.3857e-08,-0.00072649,0.1507,4.1413e-07,-0.02059,0.020628
0.1,1,1,0,0.03,0,0,-0.03,0,1.6625e-08,-0.00086297,0.15084,4.55e-07,-0.02191,0.022519
0.11,1,1,0,0.03,0,0,-0.03,0,1.9393e-08,-0.00099946,0.15097,4.9587e-07,-0.023229,0.024409
0.12,1,1,0,0.03,0,0,-0.03,0,2.2161e-08,-0.0011359,0.15111,5.3675e-07,-0.024549,0.0263
0.13,1,1,0,0.03,0,0,-0.03,0,2.6185e-08,-0.001299,0.15129,5.8442e-07,-0.025392,0.027727
0.14,1,1,0,0.03,0,0,-0.03,0,3.0798e-08,-0.0014745,0.15149,6.3527e-07,-0.026011,0.028937
0.15,1,1,0,0.03,0,0,-0.03,0,3.5411e-08,-0.00165,0.15169,6.8612e-07,-0.026631,0.030147
0.16,1,1,0,0.03,0,0,-0.03,0,4.0024e-08,-0.0018255,0.15189,7.3697e-07,-0.02725,0.031357
0.17,1,1,0,0.03,0,0,-0.03,0,4.4637e-08,-0.002001,0.15209,7.8783e-07,-0.027869,0.032567
0.18,1,1,0,0.03,0,0,-0.03,0,4.925e-08,-0.0021765,0.15229,8.3868e-07,-0.028488,0.033777
0.19,1,1,0,0.03,0,0,-0.03,0,5.5209e-08,-0.0023616,0.15251,9.0334e-07,-0.028938,0.034669
0.2,1,1,0,0.03,0,0,-0.03,0,6.2402e-08,-0.0025555,0.15275,9.8069e-07,-0.029233,0.03527
0.21,1,1,0,0.03,0,0,-0.03,0,6.9595e-08,-0.0027494,0.15298,1.058e-06,-0.029527,0.03587
0.22,1,1,0,0.03,0,0,-0.03,0,7.6788e-08,-0.0029433,0.15322,1.1354e-06,-0.029821,0.036471
0.23,1,1,0,0.03,0,0,-0.03,0,8.3982e-08,-0.0031372,0.15346,1.2127e-06,-0.030116,0.037071
0.24,1,1,0,0.03,0,0,-0.03,0,9.1175e-08,-0.0033312,0.15369,1.2901e-06,-0.03041,0.037671
0.25,1,1,0,0.03,0,0,-0.03,0,9.9837e-08,-0.0035283,0.15393,1.3844e-06,-0.030653,0.038092
